date,broker,listing_id,url,resort,points,use_year,price,price_per_point,dues_per_point,deed_year,status,point_delta,cost_per_point_year
2026-01-10,DVC Resale Market (archive),ssb7884,,Saratoga Springs,200,,20600,103,,,Archived,,
2026-01-10,DVC Resale Market (archive),ssa7897,,Saratoga Springs,200,,19200,96,,,Archived,,
2026-01-10,DVC Resale Market (archive),vbe2407,,Vero Beach,200,,11000,55,,,Archived,,
2026-01-10,DVC Resale Market (archive),vb62353,,Vero Beach,200,,9200,46,,,Archived,,
2026-01-10,DVC Resale Market (archive),vb32443,,Vero Beach,293,,12306,42,,,Archived,,
2026-01-10,DVC Resale Market (archive),vbb2440,,Vero Beach,150,,7050,47,,,Archived,,
2026-01-10,DVC Resale Market (archive),vb22449,,Vero Beach,150,,6150,41,,,Archived,,
2026-01-10,DVC Resale Market (archive),vb22450,,Vero Beach,50,,3150,63,,,Archived,,
2026-01-10,DVC Resale Market (archive),vbb2448,,Vero Beach,400,,16800,42,,,Archived,,
2026-01-10,DVC Resale Market (archive),vb22453,,Vero Beach,210,,11340,54,,,Archived,,
2026-01-10,DVC Resale Market (archive),vbe2341,,Vero Beach,230,,11500,50,,,Archived,,
2026-01-10,DVC Resale Market (archive),vb52459,,Vero Beach,100,,5300,53,,,Archived,,
2026-01-10,DVC Resale Market (archive),vb52462,,Vero Beach,50,,3150,63,,,Archived,,
2026-01-10,DVC Resale Market (archive),vbf2465,,Vero Beach,85,,5015,59,,,Archived,,
2026-01-10,DVC Resale Market (archive),vb32458,,Vero Beach,150,,7800,52,,,Archived,,
2026-01-10,DVC Resale Market (archive),vb32466,,Vero Beach,75,,4425,59,,,Archived,,
2026-01-10,DVC Resale Market (archive),dhf1055,,Villas at Disneyland Hotel,180,,32400,180,,,Archived,,
2026-01-10,DVC Resale Market (archive),dhg1069,,Villas at Disneyland Hotel,200,,36000,180,,,Archived,,
2026-01-10,DVC Resale Market (archive),dha1076,,Villas at Disneyland Hotel,60,,9600,160,,,Archived,,
2026-01-10,DVC Resale Market (archive),dh81087,,Villas at Disneyland Hotel,50,,9000,180,,,Archived,,
2026-08-17,DVC Resale Market,AKA6374,https://www.dvcresalemarket.com/listings/animal-kingdom-lodge/aka6374/,Animal Kingdom Villas,160,December,21760,136.0,10.16,2057,Sale Pending,160,14.22
2026-08-17,DVC Resale Market,AK86192,https://www.dvcresalemarket.com/listings/animal-kingdom-lodge/ak86192/,Animal Kingdom Villas,150,September,18600,124.0,10.16,2057,Offer Accepted,150,13.846
2026-08-17,DVC Resale Market,AKC6330,https://www.dvcresalemarket.com/listings/animal-kingdom-lodge/akc6330/,Animal Kingdom Villas,220,June,23980,109.0,10.16,2057,Offer Accepted,0,13.887
2026-08-17,DVC Resale Market,AKE6390,https://www.dvcresalemarket.com/listings/animal-kingdom-lodge/ake6390/,Animal Kingdom Villas,160,June,17600,110.0,10.16,2057,Offer Accepted,-164,14.615
2026-08-17,DVC Resale Market,AK96381,https://www.dvcresalemarket.com/listings/animal-kingdom-lodge/ak96381/,Animal Kingdom Villas,200,December,23000,115.0,10.16,2057,Available,10,14.071
2026-08-17,DVC Resale Market,AKB6252,https://www.dvcresalemarket.com/listings/animal-kingdom-lodge/akb6252/,Animal Kingdom Villas,160,December,20320,127.0,10.16,2057,Available,160,13.9
2026-08-17,DVC Resale Market,AKF6376,https://www.dvcresalemarket.com/listings/animal-kingdom-lodge/akf6376/,Animal Kingdom Villas,180,March,20880,116.0,10.16,2057,Available,-10,14.188
2026-08-17,DVC Resale Market,AKE6391,https://www.dvcresalemarket.com/listings/animal-kingdom-lodge/ake6391/,Animal Kingdom Villas,160,December,17600,110.0,10.16,2057,Available,-319,15.208
2026-08-17,DVC Resale Market,AKC6269,https://www.dvcresalemarket.com/listings/animal-kingdom-lodge/akc6269/,Animal Kingdom Villas,250,August,27750,111.0,10.16,2057,Sale Pending,0,13.935
2026-08-17,DVC Resale Market,AKA6388,https://www.dvcresalemarket.com/listings/animal-kingdom-lodge/aka6388/,Animal Kingdom Villas,100,August,13300,133.0,10.16,2057,Sale Pending,-2,14.891
2026-08-17,DVC Resale Market,AKE6346,https://www.dvcresalemarket.com/listings/animal-kingdom-lodge/ake6346/,Animal Kingdom Villas,160,June,17600,110.0,10.16,2057,Sale Pending,-61,14.22
2026-08-17,DVC Resale Market,AK76356,https://www.dvcresalemarket.com/listings/animal-kingdom-lodge/ak76356/,Animal Kingdom Villas,150,March,16800,112.0,10.16,2057,Sale Pending,-28,14.182
2026-08-17,DVC Resale Market,AKE6370,https://www.dvcresalemarket.com/listings/animal-kingdom-lodge/ake6370/,Animal Kingdom Villas,300,June,30900,103.0,10.16,2057,Sale Pending,-300,14.265
2026-08-17,DVC Resale Market,AKE6280,https://www.dvcresalemarket.com/listings/animal-kingdom-lodge/ake6280/,Animal Kingdom Villas,300,June,30900,103.0,10.16,2057,Sale Pending,-300,14.265
2026-08-17,DVC Resale Market,AK86318,https://www.dvcresalemarket.com/listings/animal-kingdom-lodge/ak86318/,Animal Kingdom Villas,160,June,21760,136.0,10.16,2057,Sale Pending,160,14.22
2026-08-17,DVC Resale Market,AKF6271,https://www.dvcresalemarket.com/listings/animal-kingdom-lodge/akf6271/,Animal Kingdom Villas,160,December,18080,113.0,10.16,2057,Available,-92,14.438
2026-08-17,DVC Resale Market,AK26342,https://www.dvcresalemarket.com/listings/animal-kingdom-lodge/ak26342/,Animal Kingdom Villas,25,February,3750,150.0,10.16,2057,Sale Pending,0,16.443
2026-08-17,DVC Resale Market,AKG6353,https://www.dvcresalemarket.com/listings/animal-kingdom-lodge/akg6353/,Animal Kingdom Villas,25,December,3425,137.0,10.16,2057,Sale Pending,25,15.41
2026-08-17,DVC Resale Market,AKE6379,https://www.dvcresalemarket.com/listings/animal-kingdom-lodge/ake6379/,Animal Kingdom Villas,160,October,18400,115.0,10.16,2057,Available,-155,14.743
2026-08-17,DVC Resale Market,AK26343,https://www.dvcresalemarket.com/listings/animal-kingdom-lodge/ak26343/,Animal Kingdom Villas,25,August,3875,155.0,10.16,2057,Sale Pending,1,16.579
2026-08-17,DVC Resale Market,AK36383,https://www.dvcresalemarket.com/listings/animal-kingdom-lodge/ak36383/,Animal Kingdom Villas,180,December,18900,105.0,10.16,2057,Available,-180,14.409
2026-08-17,DVC Resale Market,AK36364,https://www.dvcresalemarket.com/listings/animal-kingdom-lodge/ak36364/,Animal Kingdom Villas,110,December,12100,110.0,10.16,2057,Sale Pending,-102,14.661
2026-08-17,DVC Resale Market,AK36382,https://www.dvcresalemarket.com/listings/animal-kingdom-lodge/ak36382/,Animal Kingdom Villas,160,December,17120,107.0,10.16,2057,Sale Pending,-127,14.376
2026-08-17,DVC Resale Market,AK36361,https://www.dvcresalemarket.com/listings/animal-kingdom-lodge/ak36361/,Animal Kingdom Villas,100,August,11500,115.0,10.16,2057,Sale Pending,-99,14.892
2026-08-17,DVC Resale Market,AK76259,https://www.dvcresalemarket.com/listings/animal-kingdom-lodge/ak76259/,Animal Kingdom Villas,320,December,40000,125.0,10.16,2057,Available,0,14.366
2026-08-17,DVC Resale Market,AK36384,https://www.dvcresalemarket.com/listings/animal-kingdom-lodge/ak36384/,Animal Kingdom Villas,100,October,11600,116.0,10.16,2057,Sale Pending,14,14.232
2026-08-17,DVC Resale Market,AK96363,https://www.dvcresalemarket.com/listings/animal-kingdom-lodge/ak96363/,Animal Kingdom Villas,100,February,12500,125.0,10.16,2057,Sale Pending,0,14.615
2026-08-17,DVC Resale Market,AKC6372,https://www.dvcresalemarket.com/listings/animal-kingdom-lodge/akc6372/,Animal Kingdom Villas,250,August,27750,111.0,10.16,2057,Available,0,13.935
2026-08-17,DVC Resale Market,AK76261,https://www.dvcresalemarket.com/listings/animal-kingdom-lodge/ak76261/,Animal Kingdom Villas,480,October,50400,105.0,10.16,2057,Sale Pending,-356,14.124
2026-08-17,DVC Resale Market,AKE6341,https://www.dvcresalemarket.com/listings/animal-kingdom-lodge/ake6341/,Animal Kingdom Villas,270,June,28350,105.0,10.16,2057,Sale Pending,-229,14.25
2026-08-17,DVC Resale Market,AKA6373,https://www.dvcresalemarket.com/listings/animal-kingdom-lodge/aka6373/,Animal Kingdom Villas,150,August,17250,115.0,10.16,2057,Available,-299,15.388
2026-08-17,DVC Resale Market,AK86326,https://www.dvcresalemarket.com/listings/animal-kingdom-lodge/ak86326/,Animal Kingdom Villas,50,December,6850,137.0,10.16,2057,Sale Pending,0,15.34
2026-08-17,DVC Resale Market,AK76303,https://www.dvcresalemarket.com/listings/animal-kingdom-lodge/ak76303/,Animal Kingdom Villas,160,October,18880,118.0,10.16,2057,Available,6,14.224
2026-08-17,DVC Resale Market,AK26368,https://www.dvcresalemarket.com/listings/animal-kingdom-lodge/ak26368/,Animal Kingdom Villas,160,December,17440,109.0,10.16,2057,Available,-160,14.567
2026-08-17,The DVC Store,AK140-12-0225,https://www.dvcstore.com/resort/animal-kingdom/ak140-12-0225/,Animal Kingdom Villas,140,December,15400,110.0,10.1608,2057,Sold,0,13.969
2026-08-17,The DVC Store,AK200-10-0112-1,https://www.dvcstore.com/resort/animal-kingdom/ak200-10-0112-1/,Animal Kingdom Villas,200,October,20000,100.0,10.1608,2057,Sold,0,13.578
2026-08-17,The DVC Store,AK200-12-1018,https://www.dvcstore.com/resort/animal-kingdom/ak200-12-1018/,Animal Kingdom Villas,200,December,20600,103.0,10.1608,2057,Sold,4,13.664
2026-08-17,The DVC Store,AK200-12-1102,https://www.dvcstore.com/resort/animal-kingdom/ak200-12-1102/,Animal Kingdom Villas,200,December,22400,112.0,10.1608,2057,Sold,0,13.968
2026-08-17,The DVC Store,AK167-06-0127,https://www.dvcstore.com/resort/animal-kingdom/ak167-06-0127/,Animal Kingdom Villas,167,June,15030,90.0,10.1608,2057,Sold,0,13.282
2026-08-17,The DVC Store,AK050-08-0521,https://www.dvcstore.com/resort/animal-kingdom/ak050-08-0521/,Animal Kingdom Villas,50,August,6000,120.0,10.1608,2057,Sale Pending,100,13.455
2026-08-17,The DVC Store,AK210-12-0518,https://www.dvcstore.com/resort/animal-kingdom/ak210-12-0518/,Animal Kingdom Villas,210,December,19740,94.0,10.1608,2057,Sale Pending,-210,13.988
2026-08-17,The DVC Store,AK100-06-0602,https://www.dvcstore.com/resort/animal-kingdom/ak100-06-0602/,Animal Kingdom Villas,100,June,10900,109.0,10.1608,2057,Sale Pending,0,14.022
2026-08-17,The DVC Store,AK100-06-0727,https://www.dvcstore.com/resort/animal-kingdom/ak100-06-0727/,Animal Kingdom Villas,100,June,11000,110.0,10.1608,2057,Sale Pending,0,14.054
2026-08-17,The DVC Store,AK180-12-0729,https://www.dvcstore.com/resort/animal-kingdom/ak180-12-0729/,Animal Kingdom Villas,180,December,20700,115.0,10.1608,2057,Available,0,14.085
2026-08-17,The DVC Store,AK300-06-0727,https://www.dvcstore.com/resort/animal-kingdom/ak300-06-0727/,Animal Kingdom Villas,300,June,29100,97.0,10.1608,2057,Sold,-400,14.244
2026-08-17,The DVC Store,AK320-09-0713,https://www.dvcstore.com/resort/animal-kingdom/ak320-09-0713/,Animal Kingdom Villas,320,September,34560,108.0,10.1608,2057,Sold,308,13.191
2026-08-17,The DVC Store,AK300-12-0713,https://www.dvcstore.com/resort/animal-kingdom/ak300-12-0713/,Animal Kingdom Villas,300,December,30900,103.0,10.1608,2057,Sold,-576,14.802
2026-08-17,The DVC Store,AK120-06-0727,https://www.dvcstore.com/resort/animal-kingdom/ak120-06-0727/,Animal Kingdom Villas,120,June,14400,120.0,10.1608,2057,Sold,0,14.324
2026-08-17,The DVC Store,AK220-09-0812,https://www.dvcstore.com/resort/animal-kingdom/ak220-09-0812/,Animal Kingdom Villas,220,September,21780,99.0,10.1608,2057,Available,-556,15.081
2026-08-17,The DVC Store,AK100-09-0725,https://www.dvcstore.com/resort/animal-kingdom/ak100-09-0725/,Animal Kingdom Villas,100,September,12000,120.0,10.1608,2057,Sold,-36,14.599
2026-08-17,The DVC Store,AK160-02-0807,https://www.dvcstore.com/resort/animal-kingdom/ak160-02-0807/,Animal Kingdom Villas,160,February,17440,109.0,10.1608,2057,Sold,0,13.908
2026-08-17,DVC Sales,501,https://dvcsales.com/dvc-resale/animal-kingdom/360-points/501,Animal Kingdom Villas,360,,38520,107.0,,2057,Unverified,0,
2026-08-17,DVC Sales,1259,https://dvcsales.com/dvc-resale/animal-kingdom/110-points/1259,Animal Kingdom Villas,110,,12320,112.0,,2057,Unverified,0,
2026-08-17,DVC Sales,1418,https://dvcsales.com/dvc-resale/animal-kingdom/290-points/1418,Animal Kingdom Villas,290,,29870,103.0,,2057,Unverified,0,
2026-08-17,DVC Resale Market,AU83487,https://www.dvcresalemarket.com/listings/aulani/au83487/,Aulani,210,March,19110,91.0,10.96,2062,Offer Accepted,-210,14.225
2026-08-17,DVC Resale Market,AUB3477,https://www.dvcresalemarket.com/listings/aulani/aub3477/,Aulani,175,December,17500,100.0,10.96,2062,Offer Accepted,-100,14.29
2026-08-17,DVC Resale Market,AU83417,https://www.dvcresalemarket.com/listings/aulani/au83417/,Aulani,170,August,16320,96.0,10.96,2062,Offer Accepted,-92,14.17
2026-08-17,DVC Resale Market,AUC3491,https://www.dvcresalemarket.com/listings/aulani/auc3491/,Aulani,100,December,11000,110.0,10.96,2062,Offer Accepted,86,14.001
2026-08-17,DVC Resale Market,AUB3497,https://www.dvcresalemarket.com/listings/aulani/aub3497/,Aulani,200,June,19600,98.0,10.96,2062,Offer Accepted,-7,13.92
2026-08-17,DVC Resale Market,AU63499,https://www.dvcresalemarket.com/listings/aulani/au63499/,Aulani,115,March,12075,105.0,10.96,2062,Available,-115,14.786
